EmployeeID,Skill,ProficiencyLevel,LastAssessed
1,PowerBI,Beginner,2026-03-15
1,Account Management,Beginner,2026-03-15
1,Negotiation,Intermediate,2026-03-15
1,Python,Intermediate,2026-03-15
1,CRM,Intermediate,2026-03-15
1,B2B Sales,Beginner,2026-03-15
1,Market Analysis,Advanced,2026-03-15
1,Communication,Intermediate,2026-03-15
2,Deep Learning,Beginner,2026-03-15
2,Python,Beginner,2026-03-15
2,Statistics,Advanced,2026-03-15
2,Git,Intermediate,2026-03-15
2,Data Visualization,Intermediate,2026-03-15
4,PowerBI,Intermediate,2026-03-15
4,Data Analysis,Intermediate,2026-03-15
4,Python,Advanced,2026-03-15
4,SQL,Intermediate,2026-03-15
4,Git,Intermediate,2026-03-15
5,Deep Learning,Intermediate,2026-03-15
5,MLOps,Intermediate,2026-03-15
5,SQL,Beginner,2026-03-15
5,Python,Beginner,2026-03-15
5,Statistics,Intermediate,2026-03-15
5,Data Visualization,Advanced,2026-03-15
7,Git,Beginner,2026-03-15
7,SQL,Beginner,2026-03-15
7,Statistics,Beginner,2026-03-15
7,Excel,Intermediate,2026-03-15
8,PowerBI,Advanced,2026-03-15
8,SQL,Advanced,2026-03-15
8,Python,Intermediate,2026-03-15
8,AWS,Intermediate,2026-03-15
8,Excel,Intermediate,2026-03-15
8,Git,Intermediate,2026-03-15
10,SQL,Intermediate,2026-03-15
10,Python,Beginner,2026-03-15
10,Communication,Intermediate,2026-03-15
10,Excel,Beginner,2026-03-15
11,PowerBI,Intermediate,2026-03-15
11,Python,Advanced,2026-03-15
11,Docker,Beginner,2026-03-15
11,Excel,Advanced,2026-03-15
11,Git,Intermediate,2026-03-15
12,Lean Manufacturing,Intermediate,2026-03-15
12,Six Sigma,Intermediate,2026-03-15
12,AWS,Advanced,2026-03-15
12,Plant Management,Beginner,2026-03-15
12,Budgeting,Advanced,2026-03-15
13,PowerBI,Intermediate,2026-03-15
13,MLOps,Beginner,2026-03-15
13,Python,Intermediate,2026-03-15
13,SQL,Intermediate,2026-03-15
13,Excel,Beginner,2026-03-15
14,Data Analysis,Intermediate,2026-03-15
14,Git,Intermediate,2026-03-15
14,SQL,Advanced,2026-03-15
14,Excel,Beginner,2026-03-15
15,PowerBI,Advanced,2026-03-15
15,MLOps,Intermediate,2026-03-15
15,Python,Intermediate,2026-03-15
15,Excel,Intermediate,2026-03-15
15,Git,Intermediate,2026-03-15
16,Deep Learning,Intermediate,2026-03-15
16,Machine Learning,Intermediate,2026-03-15
16,SQL,Intermediate,2026-03-15
16,Python,Advanced,2026-03-15
16,Docker,Intermediate,2026-03-15
16,Statistics,Beginner,2026-03-15
18,PowerBI,Intermediate,2026-03-15
18,Python,Intermediate,2026-03-15
18,SQL,Intermediate,2026-03-15
18,Excel,Intermediate,2026-03-15
18,Git,Beginner,2026-03-15
18,Communication,Advanced,2026-03-15
19,SQL,Intermediate,2026-03-15
19,Python,Intermediate,2026-03-15
19,Statistics,Beginner,2026-03-15
19,Excel,Advanced,2026-03-15
19,Git,Intermediate,2026-03-15
19,Communication,Intermediate,2026-03-15
20,PowerBI,Intermediate,2026-03-15
20,Supply Chain,Beginner,2026-03-15
20,Statistics,Intermediate,2026-03-15
20,Plant Management,Advanced,2026-03-15
20,Budgeting,Intermediate,2026-03-15
21,SQL,Beginner,2026-03-15
21,Python,Intermediate,2026-03-15
21,Deep Learning,Intermediate,2026-03-15
21,Statistics,Intermediate,2026-03-15
22,PowerBI,Intermediate,2026-03-15
22,SQL,Intermediate,2026-03-15
22,Python,Intermediate,2026-03-15
22,Excel,Advanced,2026-03-15
22,Git,Intermediate,2026-03-15
23,PowerBI,Intermediate,2026-03-15
23,Python,Intermediate,2026-03-15
23,SQL,Intermediate,2026-03-15
23,AWS,Advanced,2026-03-15
23,Excel,Advanced,2026-03-15
23,Git,Intermediate,2026-03-15
24,Deep Learning,Advanced,2026-03-15
24,Machine Learning,Intermediate,2026-03-15
24,Data Analysis,Intermediate,2026-03-15
24,SQL,Intermediate,2026-03-15
24,Python,Beginner,2026-03-15
24,Statistics,Advanced,2026-03-15
24,Data Visualization,Intermediate,2026-03-15
26,Supply Chain,Beginner,2026-03-15
26,MLOps,Advanced,2026-03-15
26,PowerBI,Beginner,2026-03-15
