EmployeeID,Department,JobRole,EngagementScore,JobSatisfaction,WorkLifeBalance,EngagementCategory
1,Sales,Sales Executive,98,4,1,High
2,Research & Development,Research Scientist,79,2,3,High
4,Research & Development,Laboratory Technician,98,3,3,High
5,Research & Development,Research Scientist,98,3,3,High
7,Research & Development,Laboratory Technician,86,2,3,High
8,Research & Development,Laboratory Technician,98,4,2,High
10,Research & Development,Laboratory Technician,60,1,2,Medium
11,Research & Development,Laboratory Technician,98,3,3,High
12,Research & Development,Manufacturing Director,98,3,3,High
13,Research & Development,Healthcare Representative,93,3,2,High
14,Research & Development,Laboratory Technician,78,2,3,High
15,Research & Development,Laboratory Technician,98,3,3,High
16,Research & Development,Research Scientist,94,3,2,High
18,Research & Development,Laboratory Technician,98,4,3,High
19,Research & Development,Laboratory Technician,98,3,3,High
20,Research & Development,Manufacturing Director,62,1,3,Medium
21,Research & Development,Research Scientist,69,2,2,Medium
22,Research & Development,Laboratory Technician,98,4,2,High
23,Sales,Manager,98,4,3,High
24,Research & Development,Research Scientist,98,4,3,High
26,Research & Development,Manufacturing Director,89,3,2,High
27,Sales,Sales Representative,62,1,3,Medium
28,Research & Development,Research Director,77,2,3,High
30,Research & Development,Research Scientist,98,4,3,High
31,Research & Development,Research Scientist,69,1,3,Medium
32,Research & Development,Manager,97,3,2,High
33,Research & Development,Research Scientist,63,1,3,Medium
35,Sales,Sales Executive,77,2,3,High
36,Research & Development,Healthcare Representative,98,4,3,High
38,Sales,Manager,52,1,2,Medium
39,Research & Development,Laboratory Technician,98,4,3,High
40,Research & Development,Healthcare Representative,98,4,4,High
41,Research & Development,Laboratory Technician,98,3,3,High
42,Sales,Sales Representative,98,4,4,High
45,Research & Development,Research Scientist,98,4,2,High
46,Research & Development,Research Scientist,95,3,2,High
47,Sales,Sales Representative,98,3,3,High
49,Sales,Sales Representative,98,4,3,High
51,Research & Development,Research Scientist,78,1,4,High
52,Sales,Sales Executive,68,1,3,Medium
53,Research & Development,Laboratory Technician,98,4,3,High
54,Research & Development,Laboratory Technician,67,1,3,Medium
55,Research & Development,Laboratory Technician,95,3,2,High
56,Sales,Sales Executive,98,3,3,High
57,Research & Development,Laboratory Technician,98,4,3,High
58,Research & Development,Research Director,98,3,3,High
60,Sales,Sales Executive,98,3,3,High
61,Research & Development,Research Scientist,90,2,3,High
62,Sales,Sales Executive,98,4,3,High
63,Research & Development,Laboratory Technician,98,4,3,High
64,Research & Development,Laboratory Technician,98,3,3,High
65,Research & Development,Laboratory Technician,90,3,2,High
68,Sales,Sales Executive,51,1,2,Medium
70,Research & Development,Healthcare Representative,66,1,3,Medium
72,Sales,Sales Executive,98,4,2,High
73,Research & Development,Research Director,98,4,3,High
74,Sales,Sales Executive,50,1,2,Low
75,Research & Development,Laboratory Technician,64,1,3,Medium
76,Research & Development,Laboratory Technician,98,4,2,High
77,Research & Development,Manufacturing Director,98,3,4,High
78,Research & Development,Manufacturing Director,98,4,3,High
79,Research & Development,Laboratory Technician,98,4,3,High
80,Research & Development,Research Director,87,3,2,High
81,Sales,Sales Executive,56,1,2,Medium
83,Research & Development,Healthcare Representative,98,3,3,High
84,Research & Development,Manager,98,3,3,High
85,Research & Development,Manufacturing Director,77,2,3,High
86,Research & Development,Research Scientist,67,1,3,Medium
88,Research & Development,Research Scientist,56,1,2,Medium
90,Research & Development,Research Scientist,93,3,2,High
91,Sales,Sales Executive,88,3,2,High
94,Research & Development,Research Scientist,77,2,3,High
95,Research & Development,Research Scientist,79,2,3,High
96,Research & Development,Research Scientist,87,2,3,High
97,Research & Development,Laboratory Technician,98,4,3,High
98,Research & Development,Manufacturing Director,98,4,3,High
100,Sales,Sales Executive,64,1,3,Medium
101,Research & Development,Research Director,79,1,4,High
102,Research & Development,Research Director,98,3,4,High
103,Human Resources,Human Resources,83,2,3,High
104,Research & Development,Laboratory Technician,98,4,2,High
105,Research & Development,Research Scientist,96,3,3,High
106,Sales,Sales Executive,98,4,3,High
107,Research & Development,Research Scientist,98,4,3,High
110,Research & Development,Manufacturing Director,79,2,3,High
112,Research & Development,Manufacturing Director,98,4,2,High
113,Sales,Sales Representative,65,1,3,Medium
116,Research & Development,Laboratory Technician,98,4,3,High
117,Research & Development,Healthcare Representative,98,4,3,High
118,Sales,Sales Executive,98,4,3,High
119,Research & Development,Healthcare Representative,71,2,2,Medium
120,Sales,Sales Executive,97,4,1,High
121,Sales,Sales Executive,75,2,2,Medium
124,Research & Development,Healthcare Representative,51,1,2,Medium
125,Sales,Sales Executive,98,3,3,High
126,Research & Development,Research Director,86,3,1,High
128,Sales,Sales Executive,98,3,2,High
129,Sales,Sales Executive,98,3,4,High
131,Sales,Sales Executive,93,3,2,High
132,Research & Development,Laboratory Technician,97,2,4,High
133,Human Resources,Human Resources,59,1,3,Medium
134,Research & Development,Research Scientist,67,1,3,Medium
137,Research & Development,Laboratory Technician,98,4,3,High
138,Research & Development,Research Scientist,97,3,3,High
139,Research & Development,Healthcare Representative,98,4,4,High
140,Human Resources,Manager,98,4,3,High
141,Research & Development,Research Director,80,2,2,High
142,Sales,Sales Executive,98,3,3,High
143,Research & Development,Research Scientist,98,4,3,High
144,Research & Development,Laboratory Technician,98,4,3,High
145,Research & Development,Healthcare Representative,59,1,2,Medium
147,Research & Development,Laboratory Technician,98,3,3,High
148,Human Resources,Manager,98,4,3,High
150,Research & Development,Laboratory Technician,98,3,3,High
151,Research & Development,Research Scientist,80,2,3,High
152,Sales,Sales Executive,98,4,3,High
153,Research & Development,Manager,59,1,3,Medium
154,Sales,Sales Executive,98,4,3,High
155,Research & Development,Laboratory Technician,98,4,3,High
158,Sales,Manager,98,4,4,High
159,Research & Development,Research Scientist,93,3,2,High
160,Sales,Sales Executive,94,2,4,High
161,Research & Development,Research Scientist,87,2,3,High
162,Research & Development,Research Director,98,3,3,High
163,Sales,Sales Executive,95,3,2,High
164,Research & Development,Research Scientist,78,2,2,High
165,Research & Development,Healthcare Representative,98,4,2,High
167,Sales,Sales Representative,96,3,2,High
169,Research & Development,Laboratory Technician,98,4,3,High
170,Research & Development,Manufacturing Director,60,1,2,Medium
171,Research & Development,Research Scientist,94,3,3,High
174,Sales,Sales Executive,98,4,3,High
175,Sales,Sales Executive,98,3,3,High
176,Sales,Sales Executive,98,3,3,High
177,Human Resources,Human Resources,98,3,3,High
178,Research & Development,Manufacturing Director,76,2,3,High
179,Research & Development,Manufacturing Director,98,4,3,High
182,Sales,Sales Executive,98,3,4,High
183,Sales,Sales Executive,98,3,3,High
184,Human Resources,Human Resources,98,4,1,High
190,Research & Development,Laboratory Technician,78,1,4,High
192,Research & Development,Research Scientist,98,4,2,High
193,Research & Development,Research Scientist,94,3,3,High
194,Research & Development,Research Scientist,91,3,2,High
195,Sales,Sales Executive,98,4,4,High
197,Research & Development,Research Scientist,60,1,3,Medium
198,Research & Development,Laboratory Technician,98,4,3,High
199,Research & Development,Manager,58,1,2,Medium
200,Research & Development,Laboratory Technician,62,1,3,Medium
201,Research & Development,Laboratory Technician,85,2,3,High
202,Research & Development,Research Scientist,82,2,3,High
204,Sales,Sales Executive,85,2,3,High
