EmployeeID,Year,PerformanceRating,GoalsAchieved,ReviewerNotes
1,2024,2,99%,Needs improvement in deadlines and upskilling.
1,2025,2,82%,Needs improvement in deadlines and upskilling.
1,2026,3,89%,Consistent delivery with focus on key deliverables.
2,2024,4,83%,Consistent delivery with focus on key deliverables.
2,2025,3,79%,Consistent delivery with focus on key deliverables.
2,2026,4,97%,Consistent delivery with focus on key deliverables.
4,2024,3,95%,Consistent delivery with focus on key deliverables.
4,2025,3,80%,Consistent delivery with focus on key deliverables.
4,2026,3,72%,Consistent delivery with focus on key deliverables.
5,2024,3,93%,Consistent delivery with focus on key deliverables.
5,2025,3,70%,Consistent delivery with focus on key deliverables.
5,2026,4,98%,Consistent delivery with focus on key deliverables.
7,2024,3,83%,Consistent delivery with focus on key deliverables.
7,2025,3,89%,Consistent delivery with focus on key deliverables.
7,2026,2,87%,Needs improvement in deadlines and upskilling.
8,2024,4,85%,Consistent delivery with focus on key deliverables.
8,2025,3,79%,Consistent delivery with focus on key deliverables.
8,2026,4,86%,Consistent delivery with focus on key deliverables.
10,2024,3,77%,Consistent delivery with focus on key deliverables.
10,2025,5,84%,Consistent delivery with focus on key deliverables.
10,2026,3,76%,Consistent delivery with focus on key deliverables.
11,2024,3,79%,Consistent delivery with focus on key deliverables.
11,2025,4,70%,Consistent delivery with focus on key deliverables.
11,2026,3,81%,Consistent delivery with focus on key deliverables.
12,2024,3,84%,Consistent delivery with focus on key deliverables.
12,2025,5,85%,Consistent delivery with focus on key deliverables.
12,2026,4,83%,Consistent delivery with focus on key deliverables.
13,2024,3,88%,Consistent delivery with focus on key deliverables.
13,2025,4,88%,Consistent delivery with focus on key deliverables.
13,2026,3,99%,Consistent delivery with focus on key deliverables.
14,2024,3,89%,Consistent delivery with focus on key deliverables.
14,2025,3,78%,Consistent delivery with focus on key deliverables.
14,2026,3,95%,Consistent delivery with focus on key deliverables.
15,2024,3,81%,Consistent delivery with focus on key deliverables.
15,2025,3,89%,Consistent delivery with focus on key deliverables.
15,2026,2,74%,Needs improvement in deadlines and upskilling.
16,2024,4,88%,Consistent delivery with focus on key deliverables.
16,2025,3,73%,Consistent delivery with focus on key deliverables.
16,2026,3,88%,Consistent delivery with focus on key deliverables.
18,2024,3,95%,Consistent delivery with focus on key deliverables.
18,2025,3,99%,Consistent delivery with focus on key deliverables.
18,2026,4,93%,Consistent delivery with focus on key deliverables.
19,2024,3,93%,Consistent delivery with focus on key deliverables.
19,2025,3,89%,Consistent delivery with focus on key deliverables.
19,2026,3,71%,Consistent delivery with focus on key deliverables.
20,2024,4,88%,Consistent delivery with focus on key deliverables.
20,2025,3,73%,Consistent delivery with focus on key deliverables.
20,2026,3,82%,Consistent delivery with focus on key deliverables.
21,2024,3,87%,Consistent delivery with focus on key deliverables.
21,2025,3,81%,Consistent delivery with focus on key deliverables.
21,2026,2,93%,Needs improvement in deadlines and upskilling.
22,2024,3,72%,Consistent delivery with focus on key deliverables.
22,2025,2,72%,Needs improvement in deadlines and upskilling.
22,2026,2,72%,Needs improvement in deadlines and upskilling.
23,2024,4,75%,Consistent delivery with focus on key deliverables.
23,2025,3,92%,Consistent delivery with focus on key deliverables.
23,2026,2,77%,Needs improvement in deadlines and upskilling.
24,2024,2,73%,Needs improvement in deadlines and upskilling.
24,2025,3,80%,Consistent delivery with focus on key deliverables.
24,2026,2,77%,Needs improvement in deadlines and upskilling.
26,2024,3,71%,Consistent delivery with focus on key deliverables.
26,2025,4,89%,Consistent delivery with focus on key deliverables.
26,2026,2,73%,Needs improvement in deadlines and upskilling.
27,2024,3,76%,Consistent delivery with focus on key deliverables.
27,2025,4,74%,Consistent delivery with focus on key deliverables.
27,2026,4,96%,Consistent delivery with focus on key deliverables.
28,2024,4,90%,Consistent delivery with focus on key deliverables.
28,2025,4,75%,Consistent delivery with focus on key deliverables.
28,2026,2,72%,Needs improvement in deadlines and upskilling.
30,2024,3,97%,Consistent delivery with focus on key deliverables.
